interface_id,name,source_id,target_id,protocol_or_contract,direction,identity_and_policy,data,availability_and_recovery
VV-IF-011,Task protocol projection,VV-CMP-HOSTED,VV-CMP-012,"MCP final task extension and SSE",bidirectional,"Same principal and policy context as tool invocation","Task create, get, update, cancel, list, notifications, progress, result",Projects the shared task runtime without a second task store
VV-IF-012,Task persistence,VV-CMP-009,VV-CMP-008,"Rust API and transactional outbox",bidirectional,"Task owner includes tenant, principal, profile, server, and operation","Tasks, leases, inputs, results, provider jobs, retention pins",Resume, WebhookWait, and InterruptedIndeterminate recovery classes
VV-IF-013,Domain artifact operations,VV-CMP-HOSTED,VV-CMP-004,"Private HTTP through artifact client or Python SDK",bidirectional,"Forwarded internal identity or task-bound write capability","Metadata, capabilities, uploads, downloads, grants, releases, share links",Idempotent capability redemption and durable artifact records
VV-IF-014,Artifact byte storage,VV-CMP-004,VV-CMP-039,"S3-compatible API",bidirectional,"Installation object-store credentials; service-only access","Artifact blob bytes and short-lived signed download redirects",Tenant-derived storage keys and content integrity hashes
VV-IF-015,Authorized artifact download,VV-EXT-AUTHORIZED-USER,VV-CMP-001,"HTTPS /artifacts/{profile}/{artifact_id}/download",inbound,"Gateway policy and audit; service-side authorization","Short-lived object-store redirect",No domain-specific byte route
VV-IF-016,Public artifact redemption,VV-EXT-LINK-HOLDER,VV-CMP-004,"HTTPS /s/{token}",inbound,"Random read-only bearer; hash-only storage; expiry, limit, release state, revocation","Artifact download redirect",Edge logging suppresses bearer path
VV-IF-017,Recording ingest,VV-EXT-PRODUCER,VV-CMP-005,"Private Rerun gRPC proxy",inbound,"Installation-private boundary and configured recording owner","Rerun log messages and bounded replay",Push-only ingest; fsynced crash-decodable segment rotation
VV-IF-018,Recording query,VV-CMP-023,VV-CMP-005,"Read-only RRD files plus SurrealDB catalog",inbound,"Tenant and data-label authorization before physical segment resolution","Logical recording metadata, chunks, timelines, and components",Logical recordings may span restart siblings
VV-IF-019,Perception source read,VV-CMP-022,VV-CMP-005,"Read-only RRD files or explicitly bounded recent proxy",inbound,"Canonical recording URI authorization; classification and labels propagate","H.264 VideoStream samples, timestamps, keyframes",Durable reads use frozen or sealed segments; recent proxy is interrupted-indeterminate
VV-IF-020,Perception runner,VV-CMP-022,VV-CMP-032,"Bounded JSON subprocess contract",bidirectional,"Site-approved mounted configuration and task-level filesystem boundary","Runner request, detections, tracks, source indices",One process per task with timeout and cancellation
VV-IF-021,DeepStream execution,VV-CMP-032,VV-CMP-044,"GStreamer, CUDA, NVDEC, TensorRT, NVIDIA metadata",bidirectional,"Mounted approved engine and coherent host-driver libraries","H.264 frames, tensors, detections, tracks",No CPU inference fallback and no Triton server process
VV-IF-022,Media provider submission,VV-CMP-019,VV-CMP-043,"Provider HTTPS API",outbound,"Provider credential held only by media server","Bounded provider request and deletion request",Submission binding commits before task detaches
VV-IF-023,Media terminal webhook,VV-CMP-043,VV-CMP-019,"Signed HTTPS webhook",inbound,"Provider signature and unique event validation","Terminal event, output references, usage facts",Webhook-only completion; missing delivery is operational failure
VV-IF-024,Analytical execution,VV-CMP-018,VV-CMP-045,"Embedded DuckDB API and arbitrary SQL",bidirectional,"Owner-derived workspace and locked engine settings","Queries, mutations, ingests, exports, spatial operations",Read work may resume; uncertain mutation is never replayed
VV-IF-025,Map acquisition helper,VV-CMP-020,VV-CMP-031,"JSON subprocess contract and filesystem exchange",bidirectional,"Registered source policy, bounded paths, network controls","OSM, GTFS, maritime, aviation, and authority acquisition products",Acquisition tasks persist durable state and immutable release identities
VV-IF-026,Map routing toolchain,VV-CMP-020,VV-CMP-046,"Local process and HTTP APIs",bidirectional,"Container-local endpoints and governed active release","Routing tiles, route requests, matrices, reachable areas",Active release dependencies are recorded with route products
VV-IF-027,Rerun viewer bridge,VV-CMP-013,VV-CMP-027,"MCP stdio child to Streamable HTTP parent",bidirectional,"Gateway profile controls the external HTTP projection","Viewer MCP tools",Bridge process owns child lifecycle
VV-IF-028,World recording publication,VV-CMP-028,VV-CMP-005,"Private Rerun gRPC",outbound,"Internal recording identity","SUMO world frames",Recording Hub never polls SUMO
VV-IF-029,SUMO control,VV-CMP-028,VV-CMP-029,"Private TraCI TCP",bidirectional,"Single serialized owner; not published to host","Simulation state, signals, vehicles, network actuation",Uncertain mutating batch execution is interrupted-indeterminate
VV-IF-030,Telemetry export,VV-CMP-PLATFORM,VV-CMP-042,"OTLP gRPC or HTTP",outbound,"Installation-selected exporter and SIEM credentials","Logs, traces, metrics, audit-compatible events",Telemetry excludes tokens, bearer links, prompts, artifact bytes, and provider payloads
VV-IF-031,Deployment control,VV-CMP-035,VV-CMP-048,"Docker Compose and OCI runtime APIs",outbound,"Installation operator credentials and secret files","Images, networks, volumes, health checks, configuration",Compose is the canonical local and single-host form
VV-IF-032,Kubernetes deployment control,VV-CMP-036,VV-CMP-048,"Helm and Kubernetes APIs",outbound,"Installation operator RBAC and existing Secrets","Workloads, Services, Ingress, NetworkPolicy, volumes, mTLS annotations",Helm preserves the same service graph and explicit singleton resources
VV-IF-033,Offline transfer,VV-CMP-037,VV-CMP-048,"Verified tar and OCI image archives",outbound,"SHA-256 checksums, resolved identities, SPDX SBOMs","Images, Compose, Helm, schemas, manifests, evidence",Loader performs no network operation
